Check Name,Description,Service,Severity,Pillar
accessanalyzer_enabled,Check if IAM Access Analyzer is enabled,accessanalyzer,low,"Security"
accessanalyzer_enabled_without_findings,Check if IAM Access Analyzer is enabled without findings,accessanalyzer,low,"Security"
account_maintain_current_contact_details,Maintain current contact details.,account,medium,"Operational Excellence, Security"
account_maintain_different_contact_details_to_security_billing_and_operations,"Maintain different contact details to security, billing and operations.",account,medium,"Operational Excellence, Security, Cost Optimization"
account_security_contact_information_is_registered,Ensure security contact information is registered.,account,medium,"Security"
account_security_questions_are_registered_in_the_aws_account,Ensure security questions are registered in the AWS account.,account,medium,"Security"
acm_certificates_expiration_check,Check if ACM Certificates are about to expire in specific days or less,acm,high,"Security, Operational Excellence"
acm_certificates_transparency_logs_enabled,Check if ACM certificates have Certificate Transparency logging enabled,acm,medium,"Security"
acm_certificates_with_secure_key_algorithms,Check if ACM Certificates use a secure key algorithm,acm,high,"Security"
apigateway_restapi_authorizers_enabled,Check if API Gateway has configured authorizers at api or method level.,apigateway,medium,"Security"
apigateway_restapi_cache_encrypted,Check if API Gateway REST API cache data is encrypted at rest.,apigateway,medium,"Security"
apigateway_restapi_client_certificate_enabled,Check if API Gateway Stage has client certificate enabled to access your backend endpoint.,apigateway,medium,"Security"
apigateway_restapi_logging_enabled,Check if API Gateway Stage has logging enabled.,apigateway,medium,"Security, Operational Excellence"
apigateway_restapi_public,Check if API Gateway endpoint is public or private.,apigateway,medium,"Security"
apigateway_restapi_public_with_authorizer,Check if API Gateway public endpoint has an authorizer configured.,apigateway,medium,"Security"
apigateway_restapi_tracing_enabled,Check if AWS X-Ray tracing is enabled for API Gateway REST API stages.,apigateway,low,"Operational Excellence"
apigateway_restapi_waf_acl_attached,Check if API Gateway Stage has a WAF ACL attached.,apigateway,medium,"Security"
apigatewayv2_api_access_logging_enabled,Ensure API Gateway V2 has Access Logging enabled.,apigateway,medium,"Security, Operational Excellence"
apigatewayv2_api_authorizers_enabled,Checks if API Gateway V2 has configured authorizers.,apigateway,medium,"Security"
appstream_fleet_default_internet_access_disabled,Ensure default Internet Access from your Amazon AppStream fleet streaming instances should remain unchecked.,appstream,medium,"Security"
appstream_fleet_maximum_session_duration,Ensure user maximum session duration is no longer than 10 hours.,appstream,medium,"Security"
appstream_fleet_session_disconnect_timeout,Ensure session disconnect timeout is set to 5 minutes or less.,appstream,medium,"Security"
appstream_fleet_session_idle_disconnect_timeout,Ensure session idle disconnect timeout is set to 10 minutes or less.,appstream,medium,"Security"
appsync_field_level_logging_enabled,AWS AppSync should have field-level logging enabled,appsync,medium,"Security, Operational Excellence"
appsync_graphql_api_no_api_key_authentication,AWS AppSync GraphQL APIs should not be authenticated with API keys,appsync,high,"Security"
athena_workgroup_encryption,Ensure that encryption at rest is enabled for Amazon Athena query results stored in Amazon S3 in order to secure data and meet compliance requirements for data-at-rest encryption.,athena,medium,"Security"
athena_workgroup_enforce_configuration,Ensure that workgroup configuration is enforced so it cannot be overriden by client-side settings.,athena,medium,"Security"
athena_workgroup_logging_enabled,Ensure that logging is enabled for Amazon Athena workgroups to capture query activity.,athena,medium,"Operational Excellence, Security"
autoscaling_find_secrets_ec2_launch_configuration,[DEPRECATED] Find secrets in EC2 Auto Scaling Launch Configuration,autoscaling,critical,"Security"
autoscaling_group_capacity_rebalance_enabled,Check if Amazon EC2 Auto Scaling groups have capacity rebalance enabled.,autoscaling,medium,"Reliability"
autoscaling_group_elb_health_check_enabled,Check if Auto Scaling groups associated with a load balancer use ELB health checks.,autoscaling,low,"Reliability"
autoscaling_group_launch_configuration_no_public_ip,Check if Amazon EC2 instances launched using Auto Scaling group launch configurations have Public IP addresses.,autoscaling,high,"Security"
autoscaling_group_launch_configuration_requires_imdsv2,Check if Auto Scaling group launch configurations require Instance Metadata Service Version 2 (IMDSv2).,autoscaling,high,"Security"
